ID_CVE,url,Éditeur,Produit,Versions,Lien_Bulletin,ID_ANSSI,Titre_ANSSI,Date_Publication,Description,Score_CVSS,Gravite_CVSS,Vecteur_CVSS,Type_CWE,Score_EPSS,EPSS_Percentile,Description_Tech,Type_de_Bulletin
CVE-2022-40242,https://www.cve.org/CVERecord?id=CVE-2022-40242,,,AMI MegaRAC SPx-13 versions 0 à SPx-13-update-4.00,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,CERTFR-2022-ALE-014,Multiples vulnérabilités dans AMI MegaRAC,2022-12-16,Exécution de code arbitraire à distance,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CWE-798,0.00137,0.34209,MegaRAC Default Credentials Vulnerability,Alerte
CVE-2022-40242,https://www.cve.org/CVERecord?id=CVE-2022-40242,,,AMI MegaRAC SPx-12 versions 0 à SPx-12-update-6.00,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,CERTFR-2022-ALE-014,Multiples vulnérabilités dans AMI MegaRAC,2022-12-16,Exécution de code arbitraire à distance,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CWE-798,0.00137,0.34209,MegaRAC Default Credentials Vulnerability,Alerte
CVE-2022-40259,https://www.cve.org/CVERecord?id=CVE-2022-40259,,,AMI MegaRAC SPx-13 versions 0 à SPx-13-update-4.00,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,CERTFR-2022-ALE-014,Multiples vulnérabilités dans AMI MegaRAC,2022-12-16,Exécution de code arbitraire à distance,8.3,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:H/I:H/A:H,CWE-798,0.00302,0.53075,MegaRAC Default Credentials Vulnerability,Alerte
CVE-2022-40259,https://www.cve.org/CVERecord?id=CVE-2022-40259,,,AMI MegaRAC SPx-12 versions 0 à SPx-12-update-6.00,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,CERTFR-2022-ALE-014,Multiples vulnérabilités dans AMI MegaRAC,2022-12-16,Exécution de code arbitraire à distance,8.3,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:H/I:H/A:H,CWE-798,0.00302,0.53075,MegaRAC Default Credentials Vulnerability,Alerte
CVE-2022-2827,https://www.cve.org/CVERecord?id=CVE-2022-2827,,,AMI MegaRAC SPx-13 versions 0 à SPx-13-update-4.00,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,CERTFR-2022-ALE-014,Multiples vulnérabilités dans AMI MegaRAC,2022-12-16,Exécution de code arbitraire à distance,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CWE-200,0.16108,0.94575,AMI MegaRAC User Enumeration Vulnerability,Alerte
CVE-2022-2827,https://www.cve.org/CVERecord?id=CVE-2022-2827,,,AMI MegaRAC SPx-12 versions 0 à SPx-12-update-6.00,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,CERTFR-2022-ALE-014,Multiples vulnérabilités dans AMI MegaRAC,2022-12-16,Exécution de code arbitraire à distance,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CWE-200,0.16108,0.94575,AMI MegaRAC User Enumeration Vulnerability,Alerte
CVE-2023-27997,https://www.cve.org/CVERecord?id=CVE-2023-27997,Fortinet,FortiProxy,FortiProxy versions antérieures à 7.0.10,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-004/,CERTFR-2023-ALE-004,Vulnérabilité dans les produits Fortinet,2023-06-13,Exécution de code arbitraire à distance,9.2,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:F/RL:X/RC:R,CWE-122,0.90645,0.99596,"A heap-based buffer overflow vulnerability [CWE-122] in FortiOS version 7.2.4 and below, version 7.0.11 and below, version 6.4.12 and below, version 6.0.16 and below and FortiProxy version 7.2.3 and below, version 7.0.9 and below, version 2.0.12 and below, version 1.2 all versions, version 1.1 all versions SSL-VPN may allow a remote attacker to execute arbitrary code or commands via specifically crafted requests.",Alerte
CVE-2023-27997,https://www.cve.org/CVERecord?id=CVE-2023-27997,Fortinet,FortiOS,FortiOS versions 6.0.x antérieures à 6.0.17,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-004/,CERTFR-2023-ALE-004,Vulnérabilité dans les produits Fortinet,2023-06-13,Exécution de code arbitraire à distance,9.2,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:F/RL:X/RC:R,CWE-122,0.90645,0.99596,"A heap-based buffer overflow vulnerability [CWE-122] in FortiOS version 7.2.4 and below, version 7.0.11 and below, version 6.4.12 and below, version 6.0.16 and below and FortiProxy version 7.2.3 and below, version 7.0.9 and below, version 2.0.12 and below, version 1.2 all versions, version 1.1 all versions SSL-VPN may allow a remote attacker to execute arbitrary code or commands via specifically crafted requests.",Alerte
CVE-2023-27997,https://www.cve.org/CVERecord?id=CVE-2023-27997,Fortinet,FortiOS,FortiOS versions 6.2.x antérieures à 6.2.14,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-004/,CERTFR-2023-ALE-004,Vulnérabilité dans les produits Fortinet,2023-06-13,Exécution de code arbitraire à distance,9.2,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:F/RL:X/RC:R,CWE-122,0.90645,0.99596,"A heap-based buffer overflow vulnerability [CWE-122] in FortiOS version 7.2.4 and below, version 7.0.11 and below, version 6.4.12 and below, version 6.0.16 and below and FortiProxy version 7.2.3 and below, version 7.0.9 and below, version 2.0.12 and below, version 1.2 all versions, version 1.1 all versions SSL-VPN may allow a remote attacker to execute arbitrary code or commands via specifically crafted requests.",Alerte
CVE-2023-27997,https://www.cve.org/CVERecord?id=CVE-2023-27997,Fortinet,FortiOS,FortiOS-6K7K versions 6.0.x antérieures à 6.0.17,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-004/,CERTFR-2023-ALE-004,Vulnérabilité dans les produits Fortinet,2023-06-13,Exécution de code arbitraire à distance,9.2,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:F/RL:X/RC:R,CWE-122,0.90645,0.99596,"A heap-based buffer overflow vulnerability [CWE-122] in FortiOS version 7.2.4 and below, version 7.0.11 and below, version 6.4.12 and below, version 6.0.16 and below and FortiProxy version 7.2.3 and below, version 7.0.9 and below, version 2.0.12 and below, version 1.2 all versions, version 1.1 all versions SSL-VPN may allow a remote attacker to execute arbitrary code or commands via specifically crafted requests.",Alerte
CVE-2023-27997,https://www.cve.org/CVERecord?id=CVE-2023-27997,Fortinet,FortiOS,FortiOS versions 7.2.x antérieures à 7.2.5,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-004/,CERTFR-2023-ALE-004,Vulnérabilité dans les produits Fortinet,2023-06-13,Exécution de code arbitraire à distance,9.2,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:F/RL:X/RC:R,CWE-122,0.90645,0.99596,"A heap-based buffer overflow vulnerability [CWE-122] in FortiOS version 7.2.4 and below, version 7.0.11 and below, version 6.4.12 and below, version 6.0.16 and below and FortiProxy version 7.2.3 and below, version 7.0.9 and below, version 2.0.12 and below, version 1.2 all versions, version 1.1 all versions SSL-VPN may allow a remote attacker to execute arbitrary code or commands via specifically crafted requests.",Alerte
CVE-2023-27997,https://www.cve.org/CVERecord?id=CVE-2023-27997,Fortinet,FortiOS,FortiOS-6K7K versions 6.2.x antérieures à 6.2.15,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-004/,CERTFR-2023-ALE-004,Vulnérabilité dans les produits Fortinet,2023-06-13,Exécution de code arbitraire à distance,9.2,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:F/RL:X/RC:R,CWE-122,0.90645,0.99596,"A heap-based buffer overflow vulnerability [CWE-122] in FortiOS version 7.2.4 and below, version 7.0.11 and below, version 6.4.12 and below, version 6.0.16 and below and FortiProxy version 7.2.3 and below, version 7.0.9 and below, version 2.0.12 and below, version 1.2 all versions, version 1.1 all versions SSL-VPN may allow a remote attacker to execute arbitrary code or commands via specifically crafted requests.",Alerte
